Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Investor 1,Investor 2,Investor 3,Investor 4,No of Investors
Whoop,$4B,28-10-2020,E-commerce & direct-to-consumer,Boston,United States,North America,2012,$404M,NextView Ventures, Promus Ventures, Two Sigma Ventures,,3
Arctic Wolf Networks,$4B,22-10-2020,Cybersecurity,Eden Prairie,United States,North America,2012,$498M,Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors,,3
GOAT,$4B,23-09-2020,E-commerce & direct-to-consumer,Culver City,United States,North America,2015,$493M,Upfront Ventures, Webb Investment Network, D1 Capital Partners,,3
Noom,$4B,24-05-2021,Health,New York,United States,North America,2006,$657M,Qualcomm Ventures, Samsung Ventures, Silver Lake,,3
Papaya Global,$4B,04-03-2021,Internet software & services,New York,United States,North America,2016,$440M,Bessemer Venture Partners, Insight Partners, New Era Ventures,,3
Redwood Materials,$4B,28-07-2021,Other,Carson City,United States,North America,2017,$792M,Breakthrough Energy Ventures, Capricorn Investment Group, Valor Equity Partners,,3
ShareChat,$4B,08-04-2021,Internet software & services,Bengaluru,India,Asia,2015,$1B,India Quotient, Elevation Capital, Lightspeed Venture Partners,,3
Sorare,$4B,21-09-2021,E-commerce & direct-to-consumer,Paris,France,Europe,2019,$739M,Benchmark, Accel, SoftBank Group,,3
VAST Data,$4B,16-04-2020,Data management & analytics,New York,United States,North America,2016,$263M,Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital,,3
Articulate,$4B,01-07-2021,Edtech,New York,United States,North America,2015,$2B,Blackstone, ICONIQ Growth, General Atlantic,,3
Dutchie,$4B,16-03-2021,E-commerce & direct-to-consumer,Bend,United States,North America,2017,$603M,Casa Verde Capital, Gron Ventures, Thrity Five Ventures,,3
FalconX,$4B,10-08-2021,Fintech,San Mateo,United States,North America,2018,$324M,Tiger Global Management, American Express Ventures, B Capital Group,,3
Guild Education,$4B,13-11-2019,Internet software & services,Denver,United States,North America,2015,$379M,General Atlantic, Blackstone, ICONIQ Growth,,3
Chainalysis,$4B,23-11-2020,Fintech,New York,United States,North America,2014,$367M,Addition, Benhcmark, Accel,,3
dbt Labs,$4B,30-06-2021,Data management & analytics,Philadelphia,United States,North America,2016,$414M,Andreessen Horowitz, Amplify Partners, Sequoia Capital,,3
Globalization Partners,$4B,24-01-2022,Internet software & services,Boston,United States,North America,2012,$350M,Vista Equity Partners, Wincove, TDR Capital,,3
Intarcia Therapeutics,$4B,01-04-2014,Health,Boston,United States,North America,1995,$1B,New Enterprise Associates, New Leaf Venture Partners, Charter Venture Capital,,3
Relativity Space,$4B,23-11-2020,Other,Inglewood,United States,North America,2016,$1B,Playground Global, Bond, Tribe Capital,,3
StockX,$4B,26-06-2019,E-commerce & direct-to-consumer,Detroit,United States,North America,2016,$495M,Google Ventures, Battery Ventures, DST Global,,3
ThoughtSpot,$4B,08-05-2018,Internet software & services,Sunnyvale,United States,North America,2012,$664M,Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital,,3
SSENSE,$4B,08-06-2021,E-commerce & direct-to-consumer,Montreal,Canada,North America,2003,Unknown,Sequoia Capital,,,,1
BitPanda,$4B,16-03-2021,Fintech,Vienna,Austria,Europe,2014,$546M,Speedinvest, Valar Ventures, Uniqa Ventures,,3
Dataminr,$4B,04-06-2018,Artificial intelligence,New York,United States,North America,2009,$1B,Venrock, Institutional Venture Partners, Goldman Sachs,,3
Weee!,$4B,16-03-2021,"Supply chain, logistics, & delivery",Fremont,United States,North America,2015,$864M,Goodwater Capital, iFly, XVC Venture Capital,,3
Medlinker,$4B,31-07-2018,Health,Chengdu,China,Asia,2014,$761M,China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China,,3
Hozon Auto,$4B,22-02-2022,Auto & transportation,Shanghai,China,Asia,2014,$2B,HD Capital, Qihoo 360 Technology, China Fortune Land Development,,3
Aurora Solar,$4B,24-05-2021,Internet software & services,San Francisco,United States,North America,2013,$523M,Fifth Wall Ventures, Energize Ventures, ICONIQ Capital,,3
Branch,$4B,10-09-2018,Mobile & telecommunications,Redwood City,United States,North America,2014,$667M,New Enterprise Associates, Pear, Cowboy Ventures,,3
BrowserStack,$4B,16-06-2021,Internet software & services,Dublin,Ireland,Europe,2011,$250M,Accel, Insight Partners, Bond Capital,,3
Cerebras Systems,$4B,14-11-2018,Hardware,Los Altos,United States,North America,2016,$720M,Benchmark, Foundation Capital, Sequoia Capital,,3
ClickUp,$4B,15-12-2020,Internet software & services,San Diego,United States,North America,2017,$535M,Georgian Partners, Craft Ventures,,,2
Clubhouse,$4B,24-01-2021,Mobile & telecommunications,San Francisco,United States,North America,2020,$110M,Andreessen Horowitz, TQ Ventures,,,2
Farmers Business Network,$4B,03-08-2020,Other,San Carlos,United States,North America,2014,$870M,Blackrock, Kleiner Perkins Caulfield & Byers, Google Ventures,,3
Houzz,$4B,30-09-2014,E-commerce & direct-to-consumer,Palo Alto,United States,North America,2008,$614M,New Enterprise Associates, Sequoia Capital, Comcast Ventures,,3
MEGVII,$4B,31-10-2017,Artificial intelligence,Beijing,China,Asia,2011,$1B,Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company,,3
Melio,$4B,25-01-2021,Fintech,New York,United States,North America,2018,$504M,Accel, Aleph, American Express Ventures,,3
Next Insurance,$4B,07-10-2019,Fintech,Palo Alto,United States,North America,2016,$881M,Zeev Ventures, Ribbit Capital, TLV Partners,,3
Olive,$4B,01-12-2020,Internet software & services,Columbus,United States,North America,2012,$856M,Drive Capital, General Catalyst, Ascension Ventures,,3
Patreon,$4B,02-09-2020,Internet software & services,San Francisco,United States,North America,2013,$413M,Index Ventures, Thrive Capital, CRV,,3
PointClickCare,$4B,07-01-2021,Internet software & services,Mississauga,Canada,North America,2000,$230M,Dragoneer Investment Group, Hellman & Friedman, JMI Equity,,3
Rubrik,$4B,28-04-2017,Data management & analytics,Palo Alto,United States,North America,2014,$553M,Greylock Partners, Lightspeed Venture Partners, Khosla Ventures,,3
Vuori,$4B,13-10-2021,E-commerce & direct-to-consumer,Carlsbad,United States,North America,2015,$445M,SoftBank Group, Norwest Venture Partners,,,2
Webflow,$4B,13-01-2021,Internet software & services,San Francisco,United States,North America,2012,$335M,Accel, Silversmith Capital Partners, capitalG,,3
Yuga Labs,$4B,22-03-2022,Fintech,Miami,United States,North America,2021,$450M,Andreessen Horowitz, Thrive Capital, Sound Ventures,,3
Zapier,$4B,14-01-2021,Internet software & services,Sunnyvale,United States,North America,2011,$1M,Sequoia Capital, Bessemer Venture Partners, Threshold Ventures,,3
Dadi Cinema,$3B,11-05-2016,Other,Shenzhen,China,Asia,2006,$154M,Alibaba Pictures Group,,,,1
Kurly,$3B,09-07-2021,"Supply chain, logistics, & delivery",Seoul,South Korea,Asia,2014,$770M,Sequoia Capital China, DST Global, DST Global,,3
Moglix,$3B,17-05-2021,E-commerce & direct-to-consumer,,Singapore,Asia,2015,$471M,Jungle Ventures, Accel, Venture Highway,,3
OpenAI,$3B,22-07-2019,Artificial intelligence,San Francisco,United States,North America,2015,$1B,Khosla Ventures,,,,1
Upstox,$3B,29-11-2021,Fintech,Mumbai,India,Asia,2010,$54M,Tiger Global Management, Kalaari Capital,,,2
Vista Global,$3B,23-08-2017,Other,Dubai,United Arab Emirates,Asia,2004,$418M,Rhone Capital,,,,1
Yixia,$3B,24-11-2015,Mobile & telecommunications,Beijing,China,Asia,2011,$775M,Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures,4
Automattic,$3B,27-05-2013,Internet software & services,San Francisco,United States,North America,2005,$859M,Insight Venture Partners, Lowercase Capital, Polaris Partners,,3
OakNorth Bank,$3B,12-10-2017,Fintech,London,United Kingdom,Europe,2015,$1B,Clermont Group, Coltrane Asset Management, Toscafund Asset Management,,3
Worldcoin,$3B,29-06-2021,Fintech,San Francisco,United States,North America,2019,$125M,Day One Ventures, Coinbase Ventures, Andreessen Horowitz,,3
Hive Box,$3B,23-01-2018,"Supply chain, logistics, & delivery",Shenzhen,China,Asia,2015,$1B,Eastern Bell Capital, SF Holding Co, STO Express,,3
Trax,$3B,22-07-2019,Artificial intelligence,,Singapore,Asia,2010,$1B,Hopu Investment Management, Boyu Capital, DC Thomson Ventures,,3
MessageBird,$3B,08-10-2020,Mobile & telecommunications,Amsterdam,Netherlands,Europe,2011,$1B,Y Combinator, Atomico, Accel,,3
Cohesity,$3B,11-06-2018,Data management & analytics,San Jose,United States,North America,2013,$660M,SoftBank Group, Sequoia Capital, Wing Venture Capital,,3
Cybereason,$3B,06-08-2019,Cybersecurity,Boston,United States,North America,2012,$714M,SoftBank Group, CRV, Spark Capital,,3
A24 Films,$3B,09-03-2022,Other,New York,United States,North America,2012,$225M,Stripes Group, Neuberger Berman,,,2
Acronis,$3B,18-09-2019,Cybersecurity,Schaffhausen,Switzerland,Europe,2003,$408M,Goldman Sachs, VebVentures, Insight Partners,,3
Aura,$3B,09-06-2021,Cybersecurity,Burlington,United States,North America,2019,$500M,Warburg Pincus, General Catalyst,,,2
BYTON,$3B,20-04-2018,Auto & transportation,Nanjing,China,Asia,2016,$1B,FAW Group, Tencent Holdings, Tus Holdings,,3
Cato Networks,$3B,17-11-2020,Cybersecurity,Tel Aviv,Israel,Asia,2015,$532M,Aspect Ventures, SingTel Innov8, Greylock Partners,,3
Digit Insurance,$3B,15-01-2021,Fintech,Bengaluru,India,Asia,2016,$531M,Fairfax Financial Holdings, A91 Partners, TVS Capital,,3
Fetch Rewards,$3B,31-03-2021,E-commerce & direct-to-consumer,Madison,United States,North America,2014,$582M,Greycroft, Loeb.NYC, DST Global,,3
Games24x7,$3B,30-03-2022,Internet software & services,Mumbai,India,Asia,2006,$75M,Tiger Global Management, The Raine Group, Malabar Investments,,3
GoStudent,$3B,22-06-2021,Edtech,Vienna,Austria,Europe,2017,$685M,DN Capital, Left Lane Capital, Coatue Management,,3
Immutable,$3B,07-03-2022,Fintech,Sydney,Australia,Oceania,2018,$280M,Fabric Ventures, AirTree Ventures, Temasek,,3
Infra.Market,$3B,25-02-2021,E-commerce & direct-to-consumer,Thane,India,Asia,2016,$274M,Accel, Tiger Global Management, Nexus Venture Partners,,3
Side,$3B,22-03-2021,Internet software & services,San Francisco,United States,North America,2017,$314M,Coatue Managemeny, Trinity Ventures, Matrix Partners,,3
SiFive,$3B,16-03-2022,Hardware,San Mateo,United States,North America,2015,$366M,Sutter Hill Ventures, Osage University Partners, Spark Capital,,3
Somatus,$3B,23-02-2022,Health,McLean,United States,North America,2016,$465M,The Blue Venture Fund, Flare Capital Partners, Longitude Capital,,3
Sysdig,$3B,28-04-2021,Cybersecurity,San Francisco,United States,North America,2013,$730M,Accel, Bain Capital Ventures, Insight Partners,,3
Uniphore,$3B,16-02-2022,Artificial Intelligence,Palo Alto,United States,North America,2008,$607M,Chiratae Ventures, March Capital Partners, National Grid Partners,,3
Varo Bank,$3B,09-09-2021,Fintech,San Francisco,United States,North America,2015,$987M,Warburg Pincus, The Rise Fund, HarbourVest Partners,,3
Vercel,$3B,23-06-2021,Internet software & services,San Francisco,United States,North America,2015,$313M,CRV, Accel, Google Ventures,,3
Oura,$3B,05-04-2022,Health,Oulu,Finland,Europe,2013,$148M,Forerunner Ventures, Lifeline Ventures, MSD Capital,,3
Unacademy,$3B,02-09-2020,Edtech,Bengaluru,India,Asia,2015,$789M,Blume Ventures, Nexus Venture Partners, Sequoia Capital India,,3
Axonius,$3B,01-03-2021,Cybersecurity,New York,United States,North America,2017,$395M,Vertex Ventures Israel, Bessemer Venture Partners, Emerge,,3
Clari,$3B,03-03-2021,Internet software & services,Sunnyvale,United States,North America,2012,$496M,Sequoia Capital, Bain Capital Ventures, enaya Capital,,3
ManoMano,$3B,05-07-2021,E-commerce & direct-to-consumer,Paris,France,Europe,2013,$706M,General Atlantic, Piton Capital, Partech Partners,,3
Pendo,$3B,17-10-2019,Internet software & services,Raleigh,United States,North America,2013,$357M,Contour Venture Partners, Battery Ventures, Core Capital Partners,,3
Plume,$3B,23-02-2021,Internet software & services,Palo Alto,United States,North America,2015,$722M,Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures,,3
JumpCloud,$3B,13-09-2021,Data management & analytics,Louisville,United States,North America,2012,$407M,Foundry Group, General Atlantic, BlackRock,,3
Project44,$3B,01-06-2021,"Supply chain, logistics, & delivery",Chicago,United States,North America,2014,$818M,Emergence Capital Partners, 8VC, Chicago Ventures,,3
Sourcegraph,$3B,13-07-2021,Internet software & services,San Francisco,United States,North America,2013,$248M,Redpoint Ventures, Goldcrest Capital, Insight Partners,,3
OwnBackup,$3B,28-01-2021,Data management & analytics,Englewood Cliffs,United States,North America,2015,$507M,Insight Partners, Salesforce Ventures, Vertex Ventures,,3
Starburst,$3B,06-01-2021,Data management & analytics,Boston,United States,North America,1999,$414M,Index Ventures, Coatue Management, Andreessen Horowitz,,3
Youxia Motors,$3B,02-04-2018,Auto & transportation,Shanghai,China,Asia,2014,$1B,China Environmental Protection Industry, China Fortune Ocean,,,2
Zetwerk,$3B,20-08-2021,Internet software & services,Bengaluru,India,Asia,2018,$543M,Sequoia Capital India, Kae Capital, Accel,,3
Cars24,$3B,24-11-2020,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2015,$1B,Moore Strategic Ventures, DST Global, Sequoia Capital India,,3
Ethos,$3B,11-05-2021,Fintech,San Francisco,United States,North America,2016,$407M,Sequoia Capital, Google Ventures, Accel,,3
Komodo Health,$3B,22-05-2020,Health,San Francisco,United States,North America,2014,$314M,Andreessen Horowitz, IA Ventures, Felicis Ventures,,3
Nextiva,$3B,14-09-2021,Internet software & services,Scottsdale,United States,North America,2008,$200M,Goldman Sachs Asset Management,,,,1
o9 Solutions,$3B,28-04-2020,Artificial intelligence,Dallas,United States,North America,2009,$417M,KKR,,,,1
Scopely,$3B,29-10-2019,Mobile & telecommunications,Culver City,United States,North America,2011,$999M,Greycroft, Sands Capital, Revolution Growth,,3
Sila Nanotechnologies,$3B,16-04-2019,Other,Alameda,United States,North America,2011,$880M,Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners,,3
Via,$3B,30-03-2020,Auto & transportation,New York,United States,North America,2012,$777M,83North, RiverPark Ventures, Pitango Venture Capital,,3
Transmit Security,$3B,22-06-2021,Cybersecurity,Tel Aviv,Israel,Asia,2014,$583M,General Atlantic, Insight Partners, Vintage Investment Partners,,3
BlockDaemon,$3B,21-09-2021,Fintech,Los Angeles,United States,North America,2016,$398M,BOLDstart Ventures, Lerer Hippeau, Kenetic Capital,,3
Convoy,$3B,21-09-2018,"Supply chain, logistics, & delivery",Seattle,United States,North America,2015,$666M,Greylock Partners, capitalG, Y Combinator,,3
Dream Games,$3B,30-06-2021,Mobile & telecommunications,Istanbul,Turkey,Europe,2019,$468M,Makers Fund, Index Ventures, Inova Ventures Participacees,,3
Illumio,$3B,14-04-2015,Cybersecurity,Sunnyvale,United States,North America,2013,$558M,Data Collective, Formation 8, General Catalyst Partners,,3
MasterClass,$3B,13-05-2021,Edtech,San Francisco,United States,North America,2015,$461M,Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners,,3
Graphcore,$3B,18-12-2018,Artificial intelligence,Bristol,United Kingdom,Europe,2016,$682M,Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners,,3
ApplyBoard,$3B,05-05-2020,Edtech,Kitchener,Canada,North America,2015,$483M,Artiman Ventures, Plug and Play Ventures, Anthos Capital,,3
Blockstream,$3B,24-08-2021,Fintech,Vancouver,Canada,North America,2014,$299M,AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital,,3
Cedar,$3B,09-03-2021,Fintech,New York,United States,North America,2016,$326M,Thrive Capital, Founders Fund, Cocnord Health Partners,,3
ContentSquare,$3B,25-05-2021,Internet software & services,Paris,France,Europe,2012,$812M,Highland Europe, Eurazeo, Canaan Partners,,3
Eruditus Executive Education,$3B,12-08-2021,Edtech,Mumbai,India,Asia,2010,$591M,Sequoia Capital India, Softbank, Bertelsmann India Investments,,3
Innovaccer,$3B,19-02-2021,Health,San Francisco,United States,North America,2014,$379M,M12, WestBridge Capital, Lightspeed Venture Partners,,3
Ironclad,$3B,18-01-2022,Internet software & services,Sacramento,United States,North America,2014,$334M,Accel, Sequoia Capital, Y Combinator,,3
Skims,$3B,09-04-2021,E-commerce & direct-to-consumer,Los Angeles,United States,North America,2019,$399M,Thrive Capital, Alliance Consumer Growth, Imaginary Ventures,,3
Thumbtack,$3B,29-09-2015,E-commerce & direct-to-consumer,San Francisco,United States,North America,2008,$698M,Tiger Global, Sequoia Capital, Google Capital,,3
Zipline,$3B,20-05-2019,"Supply chain, logistics, & delivery",South San Francisco,United States,North America,2014,$483M,Sequoia Capital, Baillie Gifford & Co., Google Ventures,,3
BharatPe,$3B,30-07-2021,Fintech,New Delhi,India,Asia,2018,$600M,Insight Partners, Sequoia Capital India, BEENEXT,,3
DriveWealth,$3B,20-08-2021,Fintech,Chatham,United States,North America,2012,$551M,Point72 Ventures, Route 66 Ventures, Accel,,3
Flink Food,$3B,01-12-2021,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2021,$1B,Mubadala Capital, Bond, Prosus Ventures,,3
PsiQuantum,$3B,27-07-2021,Hardware,Palo Alto,United States,North America,2016,$665M,Playground Global, M12, BlackRock,,3
SpotOn,$3B,26-05-2021,Fintech,San Francisco,United States,North America,2017,$628M,Dragoneer Investment Group, DST Global, Franklin Templeton,,3
Gorillas,$3B,25-03-2021,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2020,$1B,Coatue Management, Atlantic Food Labs, DST Global,,3
HighRadius,$3B,07-01-2020,Fintech,Houston,United States,North America,2006,$475M,Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital,,3
Loft,$3B,03-01-2020,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,2018,$788M,Monashees+, Andreessen Horowitz, QED Investors,,3
Nuvemshop,$3B,17-08-2021,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,2011,$628M,Kaszek Ventures, Qualcomm Ventures, Accel,,3
Udaan,$3B,04-09-2018,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2016,$1B,DST Global, Lightspeed Venture Partners, Microsoft ScaleUp,,3
Workrise,$3B,30-09-2019,Internet software & services,Austin,United States,North America,2014,$722M,Founders Fund, Quantum Energy Partners, Bedrock Capital,,3
ActiveCampaign,$3B,21-04-2021,Internet software & services,Chicago,United States,North America,2003,$360M,Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management,,3
Age of Learning,$3B,03-05-2016,Edtech,Glendale,United States,North America,2007,$500M,Iconiq Capital,,,,1
Amber Group,$3B,21-06-2021,Fintech,,Hong Kong,Asia,2015,$328M,Tiger Global Management, Tiger Brokers, DCM Ventures,,3
Anchorage Digital,$3B,15-12-2021,Fintech,San Francisco,United States,North America,2017,$487M,Andreessen Horowitz, Blockchain Capital, Lux Capital,,3
BlockFi,$3B,11-03-2021,Fintech,Jersey City,United States,North America,2017,$1B,ConsenSys Ventures, Valar Ventures, PUC,,3
Calendly,$3B,26-01-2021,Internet software & services,Atlanta,United States,North America,2013,$351M,ICONIQ Capital, OpenView Venture Partners,,,2
Carbon Health,$3B,21-07-2021,Health,San Francisco,United States,North America,2015,$523M,Brookfield Asset Management, Blackstone, Data Collective,,3
Circle,$3B,15-05-2018,Fintech,Boston,United States,North America,2013,$711M,General Catalyst, Digital Currency Group, Accel,,3
CMR Surgical,$3B,17-09-2019,Health,Cambridge,United Kingdom,Europe,2014,$975M,Cambridge Innovation Capital, LGT Capital Partners, Escala Capital,,3
Contentful,$3B,28-07-2021,Internet software & services,Berlin,Germany,Europe,2013,$333M,Balderton Capital, General Catalyst, Tiger Global Management,,3
Cross River Bank,$3B,11-02-2022,Fintech,Fort Lee,United States,North America,2008,$775M,Battery Ventures, Andreessen Horowitz, Ribbit Capital,,3
Delhivery,$3B,27-02-2019,"Supply chain, logistics, & delivery",Gurgaon,India,Asia,2011,$1B,Times Internet, Nexus Venture Partners, SoftBank Group,,3
FlixBus,$3B,18-07-2019,Auto & transportation,Munich,Germany,Europe,2013,$1B,Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic,,3
Flutterwave,$3B,09-03-2021,Fintech,San Francisco,United States,North America,2016,$474M,Green Visor Capital, CRE Venture Capital, Greycroft,,3
Forter,$3B,19-11-2020,Cybersecurity,New York,United States,North America,2013,$525M,Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures,,3
Grafana Labs,$3B,25-03-2021,Internet software & services,New York,United States,North America,2014,$535M,Lightspeed Venture Partners, Lead Edge Capital, Coatue Management,,3
Groww,$3B,07-04-2021,Fintech,Bengaluru,India,Asia,2017,$393M,Tiger Global Management, Sequoia Capital India, Ribbit Capital,,3
Inxeption,$3B,13-01-2022,Fintech,San Francisco,United States,North America,2017,$187M,Coatue Management, BMO Capital, Schonfeld Strategic Advisors,,3
KK Group,$3B,23-10-2019,E-commerce & direct-to-consumer,Dongguan,China,Asia,2014,$612M,Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group,,3
Lattice,$3B,23-03-2021,Internet software & services,San Francisco,United States,North America,2015,$329M,Khosla Ventures, Thrive Capital, Y Combinator,,3
LaunchDarkly,$3B,10-08-2021,Internet software & services,Oakland,United States,North America,2014,$330M,Uncork Capital, Threshold Ventures, Bloomberg Beta,,3
Lucid,$3B,29-06-2021,Internet software & services,South Jordan,United States,North America,2010,$170M,Spectrum Equity, ICONIQ Capital, Grayhawk Capital,,3
Outschool,$3B,14-04-2021,Edtech,San Francisco,United States,North America,2015,$240M,Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital,,3
Podium,$3B,07-04-2020,Internet software & services,Lehi,United States,North America,2014,$419M,Accel, Summit Partners, Google Ventures,,3
Remote,$3B,13-07-2021,Fintech,San Francisco,United States,North America,2016,$496M,Index Ventures, Sequoia Capital, General Catalyst,,3
Seismic,$3B,18-12-2018,Internet software & services,San Diego,United States,North America,2010,$427M,Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners,,3
Sky Mavis,$3B,04-10-2021,Internet software & services,Ho Chi Minh City,Vietnam,Asia,2019,$311M,Fabric Ventures, 500 Global, Standard Crypto,,3
SouChe Holdings,$3B,01-11-2017,E-commerce & direct-to-consumer,Hangzhou,China,Asia,2012,$1B,Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund,,3
TradingView,$3B,14-10-2021,Fintech,Westerville,United States,North America,2011,$339M,Tiger Global Management, Insight Partners, Jump Capital,,3
Traveloka,$3B,01-01-2017,Travel,Jakarta,Indonesia,Asia,2012,$1B,Global Founders Capital, East Ventures, Expedia Inc.,,3
wefox,$3B,05-03-2019,Fintech,Berlin,Germany,Europe,2014,$919M,Salesforce Ventures, Seedcamp, OMERS Ventures,,3
Wildlife Studios,$3B,05-12-2019,Other,Sao Paulo,Brazil,South America,2011,$180M,Benchmark, Bessemer Venture Partners,,,2
1047 Games,$2B,14-09-2021,Internet software & services,Zephyr Cove,United States,North America,2017,$127M,VGames, Lakestar, Galaxy Interactive,,3
Baiwang,$2B,25-03-2019,Fintech,Beijing,China,Asia,2015,$224M,Guozhong Venture Capital Management, Shenzhen Capital Group, Oriental Fortune Capital,,3
Boba,$2B,05-04-2022,Fintech,San Francisco,United States,North America,2018,$45M,DeFi Technologies, Hypersphere Ventures, M13,,3
Bought By Many,$2B,01-06-2021,Fintech,London,United Kingdom,Europe,2012,$477M,Octopus Ventures, Munich Re Ventures, CommerzVentures,,3
Cambridge Mobile Telematics,$2B,19-12-2018,Mobile & telecommunications,Cambridge,United States,North America,2010,$503M,SoftBank Group,,,,1
Carzone,$2B,01-03-2019,E-commerce & direct-to-consumer,Jiangsu,China,Asia,1995,$946M,Alibaba Group,Co-Stone Venture Capital, Buhuo Venture Capital,,3
CFGI,$2B,15-09-2021,Fintech,Boston,United States,North America,2000,$19M,The Carlyle Group, CVC Capital Partners,,,2
Cgtz,$2B,21-02-2017,Fintech,Hangzhou,China,Asia,2014,$536M,Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund,,3
Changingedu,$2B,30-10-2017,Edtech,Shanghai,China,Asia,2014,$188M,Trustbridge Partners, IDG Capital, Sequoia Capital China,,3
eDaili,$2B,01-02-2019,E-commerce & direct-to-consumer,Shanghai,China,Asia,2015,$101M,K2VC, Lightspeed China Partners, Sky9 Capital,,3
ENOVATE,$2B,15-04-2019,Auto & transportation,Shanghai,China,Asia,2015,$1B,Automobile Industry Guidance Fund,,,,1
Fenbi Education,$2B,07-02-2021,Edtech,Beijing,China,Asia,2015,$390M,Trustbridge Partners, Hony Capital, IDG Capital,,3
Hesai Tech,$2B,01-08-2020,Artificial intelligence,Shanghai,China,Asia,2013,$717M,Lightspeed China Partners, Baidu Ventures, Qiming Venture Partners,,3
Il Makiage,$2B,10-01-2022,E-commerce & direct-to-consumer,New York,United States,North America,2018,$29M,L Catterton, Franklin Templeton, First Light Capital Group,,3
Iluvatar CoreX,$2B,01-03-2021,Hardware,Shanghai,China,Asia,2015,$186M,Centurium Capital, Cedarlake Capital, Unicom Innovation Venture Capital,,3
Jusfoun Big Data,$2B,09-07-2018,Data management & analytics,Beijing,China,Asia,2010,$137M,Boxin Capital, DT Capital Partners, IDG Capital,,3
Pagaya,$2B,17-06-2020,Fintech,Tel Aviv,Israel,Asia,2015,$417M,Oak HC/FT Partners, GF Investments, Harvey Golub Family Office,,3
PolicyBazaar,$2B,06-05-2019,Fintech,Gurgaon,India,Asia,2008,$634M,Info Edge, Softbank Capital,,,2
Promasidor Holdings,$2B,08-11-2016,Consumer & retail,Bryanston,South Africa,Asia,1979,$556M,IFC, Ajinomoto,,,2
Tubatu.com,$2B,09-03-2015,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,$216M,Sequoia Capital China, Matrix Partners China, 58.com,,3
Ximalaya FM,$2B,22-09-2017,Mobile & telecommunications,Shanghai,China,Asia,2012,$71M,China Creation Ventures, Sierra Ventures, Xingwang Investment Management,,3
HEYTEA,$2B,01-07-2019,Other,Shenzhen,China,Asia,2012,$594M,Sequoia Capital China, Tencent Investment, BA Capital,,3
BGL Group,$2B,24-11-2017,Fintech,Peterborough,United Kingdom,Europe,1992,$696M,CPP Investment Board,,,,1
Claroty,$2B,17-06-2021,Cybersecurity,New York,United States,North America,2015,$640M,Bessemer Venture Partners, MoreVC, Team8,,3
Improbable,$2B,11-05-2017,Other,London,United Kingdom,Europe,2012,$754M,Andreessen Horowitz, SoftBank Group, Temasek Holdings,,3
InMobi,$2B,02-12-2014,Mobile & telecommunications,Bengaluru,India,Asia,2007,$221M,Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures,,3
MindMaze,$2B,28-01-2016,Health,Lausanne,Switzerland,Europe,2012,$340M,Hinduja Group,,,,1
Ninja Van,$2B,27-09-2021,"Supply chain, logistics, & delivery",,Singapore,Asia,2014,$975M,B Capital Group, Monk's Hill Ventures, Dynamic Parcel Distribution,,3
Pantheon Systems,$2B,13-07-2021,Internet software & services,San Francisco,United States,North America,2010,$200M,Foundry Group, Scale Venture Partners, SoftBank Group,,3
SellerX,$2B,09-12-2021,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2020,$766M,Cherry Ventures, Felix Capital, 83North,,3
AppDirect,$2B,07-10-2015,E-commerce & direct-to-consumer,San Francisco,United States,North America,2009,$431M,Mithril, iNovia Capital, Foundry Group,,3
BrewDog,$2B,10-04-2017,Consumer & retail,Aberdeen,United Kingdom,Europe,2007,$233M,TSG Consumer Partners, Crowdcube,,,2
